name,calories,description,image
７プレミアム　マカロンあまおう苺＆ピスタチオ,151,甘酸っぱいあまおう苺味と香ばしいピスタチオ味の２つの味わいが楽しめるマカロン２個入。,https://img.7api-01.dp1.sej.co.jp/item-image/112964/DF7AF9E58A5F9E5D2D4AFC5650347F1C.jpg
白バラ牛乳使用　　　　クリームデニッシュ,230,こだわりのデニッシュ生地に白バラ牛乳を使用したミルククリームをたっぷりと注入したパンスイーツです。,https://img.7api-01.dp1.sej.co.jp/item-image/112818/8C2A4BFA5C1DE86D29714828A92B3753.jpg
７プレミアム　ワッフル４個入,473,風味の良いワッフル生地でカスタードホイップを包みました。ティータイムやデザートに最適な４個入りの商品です。,https://img.7api-01.dp1.sej.co.jp/item-image/111731/5E088ADB515E90627AEBBF0DF1981EE1.jpg
発酵バターとバニラ香る黄金色スイートポテト,146,国産のさつま芋に、北海道産の発酵バター、バニラビーンズを加えて香り高い味わいに仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/110654/1D5EEF56DB0C742B0BE785956E2150D0.jpg
７プレミアム　カスタード仕立てのミルクレープ,267,クリームとクレープをシンプルに楽しめるミルクレープです。自家炊きカスタードとホイップをブレンドしたコクのあるクリームを、しっとりクレープ生地で重ねました。,https://img.7api-01.dp1.sej.co.jp/item-image/110542/F1AC6CC56DBDA42EDE14CC2825E00B90.jpg
７プレミアム　ふんわり手巻きのロールケーキ,492,クリームとカスタードで仕立てたミルククリームをふんわりしっとりとした生地で優しく巻き上げたシェアして食べられるサイズのロールケーキです。,https://img.7api-01.dp1.sej.co.jp/item-image/113358/F2986EBEAD708E62226428EE42FFEF65.jpg
７プレミアム　シェアして食べるバウムクーヘン,583,生クリームを配合したしっとり食感のこだわりのバウムクーヘンに、グレーズをコーティングしました。スティックタイプの6本入りなのでシェアして食べることが出来ます。,https://img.7api-01.dp1.sej.co.jp/item-image/110703/25BF500E5222916DFA37CFB3D37DFED1.jpg
７プレミアム　しっとりバウムクーヘン,290,コクと風味が特長の卵（エグロワイヤル）を使った、冷やしておいしいバウムクーヘンです。バウムのしっとり食感とシュガーコーティングのシャリ感をバランスよく味わえます,https://img.7api-01.dp1.sej.co.jp/item-image/113452/9EE6C5797A806E9F1F5C54ED63600694.jpg
７プレミアム　プチシュー　１２個入,418,自家炊きカスタードとホイップ、バニラカスタードをブレンドしたカスタードクリームを、香ばしく焼き上げた生地に詰めました。,https://img.7api-01.dp1.sej.co.jp/item-image/110265/AB059513833ABEF970C2ADDAB60EDFF2.jpg
７プレミアム　プチエクレア　６個入,478,自家炊きカスタードとホイップ、バニラシードをブレンドしたカスタードクリームを生地に詰め、チョコをコーティングして仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/110521/AF5D691270195F7EE67527ECFC1EBB77.jpg
７プレミアム　直火焼プリン７０ｇ×４,92,卵と牛乳、ほんのり苦みのきいたカラメルを使用し、オーブンでじっくりと焼き上げた焼プリンです。,https://img.7api-01.dp1.sej.co.jp/item-image/110851/6DC9B593F51285A4138E2B36E29E9066.jpg
７プレミアム　しっとりチーズケーキ,225,素材にこだわった濃厚なチーズケーキです。,https://img.7api-01.dp1.sej.co.jp/item-image/111470/7926D5803554826663F35270AB63BFC6.jpg
７プレミアム　くだもの充実　ミックス　２１０ｇ,120,原材料高騰に伴い、推奨売価（税抜）１３８円から１７８円へ変更。フルーツは、みかん，白桃，パインの３種類を使用し、果汁感のあるゼリーに仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/110082/A7E68264487A0BBB954F0EAA2381BD84.jpg
７プレミアム　くだもの充実　みかん　２１０ｇ,133,原材料高騰に伴い、推奨売価（税抜）１４８円から１８８円へ変更。みかんの果肉感が楽しめるゼリーです。,https://img.7api-01.dp1.sej.co.jp/item-image/111100/21A8FB72D2F8EBD3E96A86F0183E3103.jpg
７プレミアム　ゼロゼリー　トリプル　グレープフルーツ,0,ローズヒップ由来ティリロサイドの働きで、ＢＭＩが高めの方の体脂肪を減らすグレープフルーツゼリーです。,https://img.7api-01.dp1.sej.co.jp/item-image/112689/7BFDCFEDC82A0E42A37657EE00FBDE83.jpg
